video_path,label,class_name
data/raw/CricShoot10kShootDataset/Cover Drive/vid296_2.avi,Cover Drive,Cover Drive
data/raw/CricShoot10kShootDataset/Cover Drive/vid203_3.avi,Cover Drive,Cover Drive
data/raw/CricShoot10kShootDataset/Pull/vid461_42.avi,Pull,Pull
data/raw/CricShoot10kShootDataset/Cover Drive/vid238_10.avi,Cover Drive,Cover Drive
data/raw/CricShoot10kShootDataset/Down The Wicket/vid53_9.avi,Down The Wicket,Down The Wicket
data/raw/CricShoot10kShootDataset/Flick/vid451_47.avi,Flick,Flick
data/raw/CricShoot10kShootDataset/Pull/vid457_29.avi,Pull,Pull
data/raw/CricShoot10kShootDataset/Hook/vid384_42.avi,Hook,Hook
data/raw/CricShoot10kShootDataset/Down The Wicket/vid67_5.avi,Down The Wicket,Down The Wicket
data/raw/CricShoot10kShootDataset/Down The Wicket/vid93_53.avi,Down The Wicket,Down The Wicket
data/raw/CricShoot10kShootDataset/Scoop/vid344_43.avi,Scoop,Scoop
data/raw/CricShoot10kShootDataset/Sweep/vid213_64.avi,Sweep,Sweep
data/raw/CricShoot10kShootDataset/Lofted Legside/vid522_27.avi,Lofted Legside,Lofted Legside
data/raw/CricShoot10kShootDataset/Lofted Offside/vid357_11.avi,Lofted Offside,Lofted Offside
data/raw/CricShoot10kShootDataset/Lofted Legside/vid8_21.avi,Lofted Legside,Lofted Legside
data/raw/CricShoot10kShootDataset/Down The Wicket/vid455_12.avi,Down The Wicket,Down The Wicket
data/raw/CricShoot10kShootDataset/Down The Wicket/vid42_25.avi,Down The Wicket,Down The Wicket
data/raw/CricShoot10kShootDataset/Down The Wicket/vid234_28.avi,Down The Wicket,Down The Wicket
data/raw/CricShoot10kShootDataset/Lofted Offside/vid363_13.avi,Lofted Offside,Lofted Offside
data/raw/CricShoot10kShootDataset/Flick/vid221_0.avi,Flick,Flick
data/raw/CricShoot10kShootDataset/Flick/vid313_37.avi,Flick,Flick
data/raw/CricShoot10kShootDataset/Defensive/vid118_26.avi,Defensive,Defensive
data/raw/CricShoot10kShootDataset/Lofted Offside/vid306_15.avi,Lofted Offside,Lofted Offside
data/raw/CricShoot10kShootDataset/Cover Drive/vid64_28.avi,Cover Drive,Cover Drive
data/raw/CricShoot10kShootDataset/Square Cut/vid249_42.avi,Square Cut,Square Cut
data/raw/CricShoot10kShootDataset/Hook/vid524_6.avi,Hook,Hook
data/raw/CricShoot10kShootDataset/Lofted Legside/vid10_10.avi,Lofted Legside,Lofted Legside
data/raw/CricShoot10kShootDataset/Cover Drive/vid320_35.avi,Cover Drive,Cover Drive
data/raw/CricShoot10kShootDataset/Reverse Sweep/vid474_12.avi,Reverse Sweep,Reverse Sweep
data/raw/CricShoot10kShootDataset/Hook/vid531_22.avi,Hook,Hook
data/raw/CricShoot10kShootDataset/Down The Wicket/vid200_1.avi,Down The Wicket,Down The Wicket
data/raw/CricShoot10kShootDataset/Sweep/vid504_21.avi,Sweep,Sweep
data/raw/CricShoot10kShootDataset/Square Cut/vid528_31.avi,Square Cut,Square Cut
data/raw/CricShoot10kShootDataset/Lofted Offside/vid429_7.avi,Lofted Offside,Lofted Offside
data/raw/CricShoot10kShootDataset/Lofted Legside/vid390_41.avi,Lofted Legside,Lofted Legside
data/raw/CricShoot10kShootDataset/Cover Drive/vid305_19.avi,Cover Drive,Cover Drive
data/raw/CricShoot10kShootDataset/Lofted Offside/vid40_43.avi,Lofted Offside,Lofted Offside
data/raw/CricShoot10kShootDataset/Flick/vid144_30.avi,Flick,Flick
data/raw/CricShoot10kShootDataset/Flick/vid24_42.avi,Flick,Flick
data/raw/CricShoot10kShootDataset/Flick/vid369_57.avi,Flick,Flick
data/raw/CricShoot10kShootDataset/Reverse Sweep/vid380_18.avi,Reverse Sweep,Reverse Sweep
data/raw/CricShoot10kShootDataset/Sweep/vid180_23.avi,Sweep,Sweep
data/raw/CricShoot10kShootDataset/Pull/vid386_35.avi,Pull,Pull
data/raw/CricShoot10kShootDataset/Square Cut/vid323_20.avi,Square Cut,Square Cut
data/raw/CricShoot10kShootDataset/Down The Wicket/vid229_6.avi,Down The Wicket,Down The Wicket
data/raw/CricShoot10kShootDataset/Flick/vid380_14.avi,Flick,Flick
data/raw/CricShoot10kShootDataset/Sweep/vid314_22.avi,Sweep,Sweep
data/raw/CricShoot10kShootDataset/Sweep/vid78_26.avi,Sweep,Sweep
data/raw/CricShoot10kShootDataset/Lofted Offside/vid96_1.avi,Lofted Offside,Lofted Offside
data/raw/CricShoot10kShootDataset/Cover Drive/vid2_21.avi,Cover Drive,Cover Drive
data/raw/CricShoot10kShootDataset/Lofted Legside/vid43_66.avi,Lofted Legside,Lofted Legside
data/raw/CricShoot10kShootDataset/Upper Cut/vid382_24.avi,Upper Cut,Upper Cut
data/raw/CricShoot10kShootDataset/Flick/vid420_1.avi,Flick,Flick
data/raw/CricShoot10kShootDataset/Lofted Legside/vid508_13.avi,Lofted Legside,Lofted Legside
data/raw/CricShoot10kShootDataset/Hook/vid144_21.avi,Hook,Hook
data/raw/CricShoot10kShootDataset/Square Cut/vid389_2.avi,Square Cut,Square Cut
data/raw/CricShoot10kShootDataset/Cover Drive/vid450_16.avi,Cover Drive,Cover Drive
data/raw/CricShoot10kShootDataset/Lofted Legside/vid25_49.avi,Lofted Legside,Lofted Legside
data/raw/CricShoot10kShootDataset/Hook/vid226_41.avi,Hook,Hook
data/raw/CricShoot10kShootDataset/Lofted Legside/vid42_27.avi,Lofted Legside,Lofted Legside
data/raw/CricShoot10kShootDataset/Lofted Offside/vid186_12.avi,Lofted Offside,Lofted Offside
data/raw/CricShoot10kShootDataset/Cover Drive/vid525_33.avi,Cover Drive,Cover Drive
data/raw/CricShoot10kShootDataset/Flick/vid157_15.avi,Flick,Flick
data/raw/CricShoot10kShootDataset/Flick/vid97_35.avi,Flick,Flick
data/raw/CricShoot10kShootDataset/Square Cut/vid177_14.avi,Square Cut,Square Cut
data/raw/CricShoot10kShootDataset/Cover Drive/vid455_43.avi,Cover Drive,Cover Drive
data/raw/CricShoot10kShootDataset/Lofted Offside/vid271_2.avi,Lofted Offside,Lofted Offside
data/raw/CricShoot10kShootDataset/Lofted Legside/vid182_13.avi,Lofted Legside,Lofted Legside
data/raw/CricShoot10kShootDataset/Cover Drive/vid128_1.avi,Cover Drive,Cover Drive
data/raw/CricShoot10kShootDataset/Scoop/vid3_33.avi,Scoop,Scoop
data/raw/CricShoot10kShootDataset/Lofted Legside/vid386_38.avi,Lofted Legside,Lofted Legside
data/raw/CricShoot10kShootDataset/Down The Wicket/vid430_10.avi,Down The Wicket,Down The Wicket
data/raw/CricShoot10kShootDataset/Lofted Legside/vid440_21.avi,Lofted Legside,Lofted Legside
data/raw/CricShoot10kShootDataset/Lofted Legside/vid332_3.avi,Lofted Legside,Lofted Legside
data/raw/CricShoot10kShootDataset/Lofted Legside/vid8_35.avi,Lofted Legside,Lofted Legside
data/raw/CricShoot10kShootDataset/Lofted Legside/vid342_18.avi,Lofted Legside,Lofted Legside
data/raw/CricShoot10kShootDataset/Lofted Legside/vid384_38.avi,Lofted Legside,Lofted Legside
data/raw/CricShoot10kShootDataset/Sweep/vid144_11.avi,Sweep,Sweep
data/raw/CricShoot10kShootDataset/Square Cut/vid154_25.avi,Square Cut,Square Cut
data/raw/CricShoot10kShootDataset/Reverse Sweep/vid137_34.avi,Reverse Sweep,Reverse Sweep
data/raw/CricShoot10kShootDataset/Down The Wicket/vid100_26.avi,Down The Wicket,Down The Wicket
data/raw/CricShoot10kShootDataset/Lofted Offside/vid104_2.avi,Lofted Offside,Lofted Offside
data/raw/CricShoot10kShootDataset/Defensive/vid381_1.avi,Defensive,Defensive
data/raw/CricShoot10kShootDataset/Lofted Legside/vid141_2.avi,Lofted Legside,Lofted Legside
data/raw/CricShoot10kShootDataset/Lofted Legside/vid521_82.avi,Lofted Legside,Lofted Legside
data/raw/CricShoot10kShootDataset/Sweep/vid416_27.avi,Sweep,Sweep
data/raw/CricShoot10kShootDataset/Square Cut/vid529_32.avi,Square Cut,Square Cut
data/raw/CricShoot10kShootDataset/Cover Drive/vid39_20.avi,Cover Drive,Cover Drive
data/raw/CricShoot10kShootDataset/Square Cut/vid517_49.avi,Square Cut,Square Cut
data/raw/CricShoot10kShootDataset/Lofted Offside/vid376_25.avi,Lofted Offside,Lofted Offside
data/raw/CricShoot10kShootDataset/Sweep/vid353_22.avi,Sweep,Sweep
data/raw/CricShoot10kShootDataset/Lofted Offside/vid511_33.avi,Lofted Offside,Lofted Offside
data/raw/CricShoot10kShootDataset/Flick/vid337_38.avi,Flick,Flick
data/raw/CricShoot10kShootDataset/Flick/vid133_13.avi,Flick,Flick
data/raw/CricShoot10kShootDataset/Hook/vid121_36.avi,Hook,Hook
data/raw/CricShoot10kShootDataset/Scoop/vid430_49.avi,Scoop,Scoop
data/raw/CricShoot10kShootDataset/Hook/vid101_22.avi,Hook,Hook
data/raw/CricShoot10kShootDataset/Hook/vid80_19.avi,Hook,Hook
data/raw/CricShoot10kShootDataset/Upper Cut/vid443_30.avi,Upper Cut,Upper Cut
data/raw/CricShoot10kShootDataset/Cover Drive/vid143_23.avi,Cover Drive,Cover Drive
data/raw/CricShoot10kShootDataset/Lofted Offside/vid444_7.avi,Lofted Offside,Lofted Offside
data/raw/CricShoot10kShootDataset/Late Cut/vid38_27.avi,Late Cut,Late Cut
data/raw/CricShoot10kShootDataset/Hook/vid34_6.avi,Hook,Hook
data/raw/CricShoot10kShootDataset/Cover Drive/vid295_39.avi,Cover Drive,Cover Drive
data/raw/CricShoot10kShootDataset/Lofted Legside/vid157_10.avi,Lofted Legside,Lofted Legside
data/raw/CricShoot10kShootDataset/Pull/vid250_13.avi,Pull,Pull
data/raw/CricShoot10kShootDataset/Lofted Offside/vid88_6.avi,Lofted Offside,Lofted Offside
data/raw/CricShoot10kShootDataset/Sweep/vid472_2.avi,Sweep,Sweep
data/raw/CricShoot10kShootDataset/Hook/vid110_9.avi,Hook,Hook
data/raw/CricShoot10kShootDataset/Square Cut/vid74_25.avi,Square Cut,Square Cut
data/raw/CricShoot10kShootDataset/Cover Drive/vid385_7.avi,Cover Drive,Cover Drive
data/raw/CricShoot10kShootDataset/Cover Drive/vid483_12.avi,Cover Drive,Cover Drive
data/raw/CricShoot10kShootDataset/Down The Wicket/vid207_6.avi,Down The Wicket,Down The Wicket
data/raw/CricShoot10kShootDataset/Hook/vid237_35.avi,Hook,Hook
data/raw/CricShoot10kShootDataset/Defensive/vid314_28.avi,Defensive,Defensive
data/raw/CricShoot10kShootDataset/Cover Drive/vid222_2.avi,Cover Drive,Cover Drive
data/raw/CricShoot10kShootDataset/Reverse Sweep/vid494_26.avi,Reverse Sweep,Reverse Sweep
data/raw/CricShoot10kShootDataset/Down The Wicket/vid161_28.avi,Down The Wicket,Down The Wicket
data/raw/CricShoot10kShootDataset/Down The Wicket/vid181_1.avi,Down The Wicket,Down The Wicket
data/raw/CricShoot10kShootDataset/Cover Drive/vid524_29.avi,Cover Drive,Cover Drive
data/raw/CricShoot10kShootDataset/Lofted Legside/vid488_16.avi,Lofted Legside,Lofted Legside
data/raw/CricShoot10kShootDataset/Lofted Legside/vid6_34.avi,Lofted Legside,Lofted Legside
data/raw/CricShoot10kShootDataset/Lofted Legside/vid162_35.avi,Lofted Legside,Lofted Legside
data/raw/CricShoot10kShootDataset/Lofted Legside/vid25_16.avi,Lofted Legside,Lofted Legside
data/raw/CricShoot10kShootDataset/Pull/vid440_57.avi,Pull,Pull
data/raw/CricShoot10kShootDataset/Lofted Offside/vid110_35.avi,Lofted Offside,Lofted Offside
data/raw/CricShoot10kShootDataset/Lofted Legside/vid484_13.avi,Lofted Legside,Lofted Legside
data/raw/CricShoot10kShootDataset/Hook/vid455_34.avi,Hook,Hook
data/raw/CricShoot10kShootDataset/Square Cut/vid533_58.avi,Square Cut,Square Cut
data/raw/CricShoot10kShootDataset/Straight Drive/vid492_23.avi,Straight Drive,Straight Drive
data/raw/CricShoot10kShootDataset/Lofted Legside/vid333_19.avi,Lofted Legside,Lofted Legside
data/raw/CricShoot10kShootDataset/Lofted Offside/vid141_11.avi,Lofted Offside,Lofted Offside
data/raw/CricShoot10kShootDataset/Flick/vid85_24.avi,Flick,Flick
data/raw/CricShoot10kShootDataset/Down The Wicket/vid510_18.avi,Down The Wicket,Down The Wicket
data/raw/CricShoot10kShootDataset/Reverse Sweep/vid146_15.avi,Reverse Sweep,Reverse Sweep
data/raw/CricShoot10kShootDataset/Sweep/vid368_4.avi,Sweep,Sweep
data/raw/CricShoot10kShootDataset/Lofted Offside/vid8_38.avi,Lofted Offside,Lofted Offside
data/raw/CricShoot10kShootDataset/Hook/vid357_54.avi,Hook,Hook
data/raw/CricShoot10kShootDataset/Flick/vid507_38.avi,Flick,Flick
data/raw/CricShoot10kShootDataset/Defensive/vid319_4.avi,Defensive,Defensive
data/raw/CricShoot10kShootDataset/Flick/vid367_46.avi,Flick,Flick
data/raw/CricShoot10kShootDataset/Lofted Legside/vid120_22.avi,Lofted Legside,Lofted Legside
data/raw/CricShoot10kShootDataset/Lofted Offside/vid257_14.avi,Lofted Offside,Lofted Offside
data/raw/CricShoot10kShootDataset/Square Cut/vid110_27.avi,Square Cut,Square Cut
data/raw/CricShoot10kShootDataset/Lofted Offside/vid376_32.avi,Lofted Offside,Lofted Offside
data/raw/CricShoot10kShootDataset/Hook/vid485_43.avi,Hook,Hook
data/raw/CricShoot10kShootDataset/Scoop/vid280_16.avi,Scoop,Scoop
data/raw/CricShoot10kShootDataset/Square Cut/vid533_52.avi,Square Cut,Square Cut
data/raw/CricShoot10kShootDataset/Straight Drive/vid299_27.avi,Straight Drive,Straight Drive
data/raw/CricShoot10kShootDataset/Scoop/vid135_4.avi,Scoop,Scoop
data/raw/CricShoot10kShootDataset/Lofted Legside/vid420_20.avi,Lofted Legside,Lofted Legside
data/raw/CricShoot10kShootDataset/Sweep/vid231_16.avi,Sweep,Sweep
data/raw/CricShoot10kShootDataset/Square Cut/vid238_23.avi,Square Cut,Square Cut
data/raw/CricShoot10kShootDataset/Down The Wicket/vid436_27.avi,Down The Wicket,Down The Wicket
data/raw/CricShoot10kShootDataset/Flick/vid364_46.avi,Flick,Flick
data/raw/CricShoot10kShootDataset/Pull/vid483_10.avi,Pull,Pull
data/raw/CricShoot10kShootDataset/Cover Drive/vid170_5.avi,Cover Drive,Cover Drive
data/raw/CricShoot10kShootDataset/Cover Drive/vid281_15.avi,Cover Drive,Cover Drive
data/raw/CricShoot10kShootDataset/Flick/vid124_6.avi,Flick,Flick
data/raw/CricShoot10kShootDataset/Flick/vid226_24.avi,Flick,Flick
data/raw/CricShoot10kShootDataset/Lofted Offside/vid489_45.avi,Lofted Offside,Lofted Offside
data/raw/CricShoot10kShootDataset/Flick/vid294_4.avi,Flick,Flick
data/raw/CricShoot10kShootDataset/Lofted Offside/vid394_16.avi,Lofted Offside,Lofted Offside
data/raw/CricShoot10kShootDataset/Pull/vid450_40.avi,Pull,Pull
data/raw/CricShoot10kShootDataset/Lofted Offside/vid369_12.avi,Lofted Offside,Lofted Offside
data/raw/CricShoot10kShootDataset/Scoop/vid440_23.avi,Scoop,Scoop
data/raw/CricShoot10kShootDataset/Lofted Offside/vid6_8.avi,Lofted Offside,Lofted Offside
data/raw/CricShoot10kShootDataset/Scoop/vid358_32.avi,Scoop,Scoop
data/raw/CricShoot10kShootDataset/Lofted Offside/vid398_23.avi,Lofted Offside,Lofted Offside
data/raw/CricShoot10kShootDataset/Down The Wicket/vid132_6.avi,Down The Wicket,Down The Wicket
data/raw/CricShoot10kShootDataset/Upper Cut/vid364_9.avi,Upper Cut,Upper Cut
data/raw/CricShoot10kShootDataset/Lofted Legside/vid474_26.avi,Lofted Legside,Lofted Legside
data/raw/CricShoot10kShootDataset/Lofted Legside/vid384_51.avi,Lofted Legside,Lofted Legside
data/raw/CricShoot10kShootDataset/Flick/vid508_1.avi,Flick,Flick
data/raw/CricShoot10kShootDataset/Square Cut/vid49_6.avi,Square Cut,Square Cut
data/raw/CricShoot10kShootDataset/Flick/vid242_5.avi,Flick,Flick
data/raw/CricShoot10kShootDataset/Flick/vid295_35.avi,Flick,Flick
data/raw/CricShoot10kShootDataset/Pull/vid188_8.avi,Pull,Pull
data/raw/CricShoot10kShootDataset/Square Cut/vid34_20.avi,Square Cut,Square Cut
data/raw/CricShoot10kShootDataset/Lofted Offside/vid357_20.avi,Lofted Offside,Lofted Offside
data/raw/CricShoot10kShootDataset/Sweep/vid422_38.avi,Sweep,Sweep
data/raw/CricShoot10kShootDataset/Square Cut/vid131_12.avi,Square Cut,Square Cut
data/raw/CricShoot10kShootDataset/Defensive/vid251_17.avi,Defensive,Defensive
data/raw/CricShoot10kShootDataset/Upper Cut/vid92_5.avi,Upper Cut,Upper Cut
data/raw/CricShoot10kShootDataset/Down The Wicket/vid38_4.avi,Down The Wicket,Down The Wicket
data/raw/CricShoot10kShootDataset/Square Cut/vid498_31.avi,Square Cut,Square Cut
data/raw/CricShoot10kShootDataset/Straight Drive/vid456_22.avi,Straight Drive,Straight Drive
data/raw/CricShoot10kShootDataset/Straight Drive/vid65_16.avi,Straight Drive,Straight Drive
data/raw/CricShoot10kShootDataset/Lofted Offside/vid181_5.avi,Lofted Offside,Lofted Offside
data/raw/CricShoot10kShootDataset/Square Cut/vid112_10.avi,Square Cut,Square Cut
data/raw/CricShoot10kShootDataset/Lofted Legside/vid441_52.avi,Lofted Legside,Lofted Legside
data/raw/CricShoot10kShootDataset/Square Cut/vid238_20.avi,Square Cut,Square Cut
data/raw/CricShoot10kShootDataset/Pull/vid93_29.avi,Pull,Pull
data/raw/CricShoot10kShootDataset/Flick/vid357_46.avi,Flick,Flick
data/raw/CricShoot10kShootDataset/Lofted Offside/vid488_5.avi,Lofted Offside,Lofted Offside
data/raw/CricShoot10kShootDataset/Lofted Offside/vid436_36.avi,Lofted Offside,Lofted Offside
data/raw/CricShoot10kShootDataset/Upper Cut/vid162_27.avi,Upper Cut,Upper Cut
data/raw/CricShoot10kShootDataset/Straight Drive/vid496_4.avi,Straight Drive,Straight Drive
data/raw/CricShoot10kShootDataset/Hook/vid511_52.avi,Hook,Hook
data/raw/CricShoot10kShootDataset/Down The Wicket/vid1_35.avi,Down The Wicket,Down The Wicket
data/raw/CricShoot10kShootDataset/Lofted Offside/vid346_3.avi,Lofted Offside,Lofted Offside
data/raw/CricShoot10kShootDataset/Down The Wicket/vid85_12.avi,Down The Wicket,Down The Wicket
data/raw/CricShoot10kShootDataset/Sweep/vid359_9.avi,Sweep,Sweep
data/raw/CricShoot10kShootDataset/Flick/vid233_33.avi,Flick,Flick
data/raw/CricShoot10kShootDataset/Down The Wicket/vid273_2.avi,Down The Wicket,Down The Wicket
data/raw/CricShoot10kShootDataset/Down The Wicket/vid470_15.avi,Down The Wicket,Down The Wicket
data/raw/CricShoot10kShootDataset/Flick/vid216_22.avi,Flick,Flick
data/raw/CricShoot10kShootDataset/Hook/vid488_30.avi,Hook,Hook
data/raw/CricShoot10kShootDataset/Square Cut/vid121_30.avi,Square Cut,Square Cut
data/raw/CricShoot10kShootDataset/Cover Drive/vid388_33.avi,Cover Drive,Cover Drive
data/raw/CricShoot10kShootDataset/Hook/vid438_15.avi,Hook,Hook
data/raw/CricShoot10kShootDataset/Pull/vid198_10.avi,Pull,Pull
data/raw/CricShoot10kShootDataset/Defensive/vid170_51.avi,Defensive,Defensive
data/raw/CricShoot10kShootDataset/Sweep/vid527_15.avi,Sweep,Sweep
data/raw/CricShoot10kShootDataset/Square Cut/vid31_10.avi,Square Cut,Square Cut
data/raw/CricShoot10kShootDataset/Down The Wicket/vid446_2.avi,Down The Wicket,Down The Wicket
data/raw/CricShoot10kShootDataset/Sweep/vid400_3.avi,Sweep,Sweep
data/raw/CricShoot10kShootDataset/Square Cut/vid517_10.avi,Square Cut,Square Cut
data/raw/CricShoot10kShootDataset/Flick/vid532_32.avi,Flick,Flick
data/raw/CricShoot10kShootDataset/Straight Drive/vid34_10.avi,Straight Drive,Straight Drive
data/raw/CricShoot10kShootDataset/Straight Drive/vid389_12.avi,Straight Drive,Straight Drive
data/raw/CricShoot10kShootDataset/Down The Wicket/vid519_49.avi,Down The Wicket,Down The Wicket
data/raw/CricShoot10kShootDataset/Down The Wicket/vid466_1.avi,Down The Wicket,Down The Wicket
data/raw/CricShoot10kShootDataset/Hook/vid530_48.avi,Hook,Hook
